priority,plane,weight,wasLastWeaponHitscan,timeOfFire,lengthOfHitscanShot,shotEndTime,isShotComplete,priority,plane,weight,
FireWeapon,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,False,FireWeapon,Base,100,
None,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,True,None,Base,100,
None,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,True,None,Base,100,
None,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,True,None,Base,100,
None,Base,100,True,1.5000000782311,0.200000002980232,1.70000008121133,True,None,Base,100,
FireWeapon,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,False,FireWeapon,Base,100,
None,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,True,None,Base,100,
None,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,True,None,Base,100,
None,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,True,None,Base,100,
None,Base,100,True,1.80000009387732,0.200000002980232,2.00000009685755,True,None,Base,100,
FireWeapon,Base,100,True,2.10000010952353,0.200000002980232,2.30000011250377,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,2.10000010952353,0.200000002980232,2.30000011250377,False,FireWeapon,Base,100,
FireWeapon,Base,100,True,2.10000010952353,0.200000002980232,2.30000011250377,False,FireWeapon,Base,100,
